jobName,companyName,salary,experience,place,companySize,special,school,description
韌體研發工程師 - (穿戴式 / IoT 裝置),研鼎智能股份有限公司,面議,經歷不拘,台北市內湖區,員工60人,,大學,"1. 物聯網裝置及穿戴式裝置
2. 韌體開發與演算法設計
3. 透過無線連結通道, 與公司開發之手機 App 進行資料數據交換
4. 參與產品多元異質系統從設計, 開發, 整合, 到實測, 量產之完整流程

關鍵字 / keywords"
程式開發部-工程師(.NET),愛爾達科技股份有限公司,面議,1年以上,台北市中正區,員工160人,,大學,"1. 1年以上程式開發工作經驗
2. 熟悉ASP.NET(C#, MVC)程式開發以及微軟.NET Framework 4以上
3. 熟悉微軟Windows Server 環境以及MSSQL資料庫應用,有中大型系統開發經驗佳
4. 具基本"
電子商務行銷研究員-商業科技應用研究所,財團法人商業發展研究院,依公司規定,1年以上,台北市大安區,員工140人,,碩士,"1.執行商業司「106年度電子商務兆元推升計畫」案，執行東協跨境電商行銷策略輔導。
2.協助跨境電商市場分析。
3.蒐集資料已進行跨境電商網購行為分析。
4.支援相關計畫及長官交辦任務。 
5.此職缺第一年為約聘，一年後視績效與業務狀況"
軟體開發工程師_7209,和碩集團_和碩聯合科技股份有限公司,依公司規定,經歷不拘,台北市北投區,員工6000人,,碩士,"本職務工作內容主要是負責和碩集團內部
RD研發流程中所需IT輔助之資訊系統軟體開發。
以產品生命週期概念為核心，RD研發流程為主軸
進行人員,資料,流程的整合以協助產品設計,研發,製造的時間能被大幅縮短及更為順暢,彈性。"
服務可靠性工程師,寶利拾股份有限公司,面議,1年以上,台北市中正區,,,大學,"工作內容：
•管理 Docker / Kubernetes 集群
•設計並部署服務監控策略
•需配合輪班
所需條件：
•一年以上 Web 專案開發經驗
•熟悉 Ruby on Rails 或任一網頁框架
•熟悉 Linux 伺服器管理基本指令
•使用過 AWS / GCP 等任一公有雲平台"
【2018年研發替代役】服務可靠性工程師,寶利拾股份有限公司,面議,1年以上,台北市中正區,,,大學,"工作內容：
•管理 Docker / Kubernetes 集群
•設計並部署服務監控策略
•需配合輪班
所需條件：
•一年以上 Web 專案開發經驗
•熟悉 Ruby on Rails 或任一網頁框架
•熟悉 Linux 伺服器管理基本指令
•使用過 AWS / GCP 等任一公有雲平台"
[學生實習]IT 電子商務客服實習生 Internship Program,DHL_洋基通運股份有限公司,面議,經歷不拘,台北市中山區,員工1000人,外商公司,大學,"1.使用UI操作界面工具協助Global線上系統轉換，並於系統移轉期間，學習操作電子提單工具。
2.熟悉EXCEL公式指令使用及樞紐分析。
3.協助接聽使用者電話諮詢服務，協助並引導客戶排除障礙。

工作時間：一週至少三天，此為長期實習，不接受暑期實習
報到時間：兩週內
身分需求：僅限在學學生應徵"
【資訊】客戶關係管理系統開發人員,群益金鼎證券股份有限公司,面議,2年以上,台北市信義區,員工2100人,上市上櫃,大學,CRM開發及維護。
軟體工程師(A),奇偶科技股份有限公司,面議,2年以上,台北市內湖區,員工310人,上市上櫃,大學,"1.Windows AP程式設計
2.前端網站設計"
PHP(Fullstack) 工程師,里斯特資訊媒體股份有限公司,月薪 4萬元 至 8萬元,1年以上,台北市大安區,員工40人,,大學,"Junior PHP (Fullstack) Developer
協助前後端功能開發(註冊、登入、報表功能、API等相關功能)以及一些QA項目"
