jobName,companyName,salary,experience,place,companySize,special,school,description
韌體研發工程師 - (穿戴式 / IoT 裝置),研鼎智能股份有限公司,面議,經歷不拘,台北市內湖區,員工60人,,大學,"1. 物聯網裝置及穿戴式裝置
2. 韌體開發與演算法設計
3. 透過無線連結通道, 與公司開發之手機 App 進行資料數據交換
4. 參與產品多元異質系統從設計, 開發, 整合, 到實測, 量產之完整流程

關鍵字 / keywords"
資料管理師(BI分析),雄獅資訊科技股份有限公司,面議,經歷不拘,台北市內湖區,員工170人,,大學,"1.Data Warehouse及Data Mart維護與優化
監控資料庫效能，並適時針對相關參數及SQL進行調校。
分析非結構化資料。
巨量數據分析處理架構設計。
2. 資料分析
與內部客戶共同梳理作業邏輯。
彙整企業內部ERP系統"
BI Consultant,德義資訊股份有限公司,面議,2年以上,台北市大安區,員工175人,,專科,"）。
- 分析企業統計數據（如：營業額、銷售量、客戶數等，預測與追蹤市場和銷售的趨勢）。"
企劃(資訊系統整合),巨匠電腦股份有限公司(巨匠電腦)(巨匠美語),面議,2年以上,台北市中正區,員工800人,,大學,"蒐集、分析與政府資訊服務相關計畫情報。
政府資訊政策研究。
資訊系統整合規劃。
撰寫政府資訊系統整合計畫。
新資訊服務的規劃(例如：數位關懷、大數據、數位學習、物聯網、機器人自動化系統、行動裝置、資料庫網站、多媒體網站、微電影製作等) 。"
深度學習專家 (Deep Learning),竹間智能科技有限公司,面議,經歷不拘,台北市內湖區,員工150人,,大學," Java
-具有IR和數據挖掘方面的項目經驗者優先
-優秀的分析問題和解決問題的能力，能夠把合理的思路成功應用於實踐"
內控、資安人員,台北富邦商業銀行股份有限公司,面議,5年以上,台北市,員工7000人,,大學,"1.遵循資訊內控標準作業程序，執行各項內控作業、資安、風控及法令遵循事項。
2. 協助內外部稽核及各項自行查核作業，並重視提供資料之品質。
3. 資訊安全數據彙整、統計與分析。資訊安全事件分析與處理。"
資訊技術研究員-創模所,財團法人商業發展研究院,面議,1年以上,台北市大安區,員工140人,,大學,"1. 資訊技術研發與系統開發
2. 撰寫研究報告、程式規格書及系統相關專業報告等相關文件 
3. 具備資料庫管理、SQL、web-based系統與APP應用程式開發經驗 
4. 具備兩年以上產業大數據、AI系統分析及程式設計
5.專案簡報"
專案經理,坤眾科技股份有限公司,面議,1年以上,台北市內湖區,員工40人,,大學,"1. 俱備大數據分析及物聯網技術基礎者。
2. 俱備GIS技術基礎或對GIS應用系統發展有興趣者。
3. 對新技術研發與推廣有興趣者
4. 學習意願強，並樂於客戶溝通與協調。
5. 工作地點:台北總公司或台中分公司。"
產品經理,優愛德股份有限公司,面議,5年以上,台北市松山區,員工60人,,大學,"工作內容:
1. 管控專案品質、規劃、執行與追蹤檢討
2. 熟悉Scrum運作方式
3. 具備跨部門溝通整合協調能力
4. 具系統服務介面流程規劃與前端工程開發經驗
5. 具大數據資料分析與行為資料分析經驗
6. 具英文溝通及書寫能力"
SM2117 AI/.Net C#軟體工程師 Software Engineer,建騰創達科技股份有限公司,面議,1年以上,台北市內湖區,員工280人,,專科,"職務範圍（Job Description）
工作內容
 
1. 智能機器人助理研發 (Smart robot assistant development)
2. 大數據分析及機器學習系統研發 (Big data analysis and"
軟體工程師,新加坡商艾得克有限公司台灣分公司,面議,經歷不拘,台北市信義區,員工90人,外商公司,大學,":  computer science, computer engineering, electrical engineering
設計 C/C++ 的API 來支援市場行情和下單系統
與數據科學家一塊分析與設計交易模型
協助交易和交易系統的運作與穩定"
資料管理師,采盟股份有限公司,面議,3年以上,台北市松山區,員工1400人,,專科,"主要工作內容：
1.大數據分析及程式開發
2.協助資料倉儲設計, 維運及效能調校
3.報表及文件產出

需求條件：
1.有資料庫程式開發經驗佳
2.具零售業或進銷存Know-How佳
3.熱情、細心、積極、思考邏輯清晰、善於溝通協調"
