jobName,companyName,salary,experience,place,companySize,special,school,description
資深軟體工程師/系統分析師,雲簽科技股份有限公司,面議,5年以上,台北市大安區,,,專科,"1.使用 ExtJS + Oracle 開發及維護ERP,EIP, HR, CRM
2.具備網頁能力 Html + Css + Javascript
3.具關聯式資料庫概念，熟悉 SQL 語法
4.具備OOP能力(例如Java，C#/C++，VB...)
5.主動積極、認真負責，與團隊有良好的溝通及合作精神。"
資安工程師,好好投資科技股份有限公司,面議,經歷不拘,台北市信義區,員工10人,,專科,"【好好技能】
1.具深度資訊安全經驗。
2.能構建/部署/維護安全控制，儀器和檢測基礎架構。
3.有資安設備政策規劃及調整經驗。
4.懂日常資安檢測作業的執行、資安事件處理、調查和修復。
5.有對攻擊者紀錄和進行架構深入研究，以預測和預防未來攻擊能力 。
6.對AWS服務和體系結構有深刻的理解

【好好嚴選】
我們正在找人，但尋志同道合，寧缺也不願濫選！我們不只找員工，更覓共同打拼的事業夥伴，雖是新創公司，但福利絕對優於上市公司。

您應該看得出，我們不同一般公司更認真仔細地徵才，注重每個環節，這是我們做好一件小事的標準，我們是站在世界金融科技風口的團隊，也是「79%」一定會成功的新創公司！這剩下「21%」的不確定，等待優秀且舉足輕重的您來為我們補足，如您只是帶著打工的心態，請不要來！如希望找到環境好，福利佳，能力快速成長的公司，歡迎您來試試看。

【好好認識】
好好投資科技是新創公司，也是一個築夢踏實的年輕團隊(但我們的志氣大到將會翻轉生態)

公司產業正是目前站在風口的金融+科技 (Fintech)領域，現正開發一個很有趣且特別的投資理財平台，第一版已上線測式中 www.howinvest.com

我們對於金融遇見科技的未來有著具體想像，即將運用人工智慧打破投資的專業門檻，改變傳統理財顧問與投資人的互動方式，我們要讓最需要理財的小資族，用非常簡單的方式直覺性投資！

公司創始成員由來自金融實務界資深銀行家與外資證券老總的發起，工程團隊從前端、後端、資料庫、演算法工程師都是新世代創客。

【好好徵才】
(以下五項前提，任一未具備者勿投履歷)
1.對有金融科技有興趣與熱情，想參與最夯的金融科技專案。(您現在不需很懂金融，但要有興趣) 。
2.注重細節及使用流程，能從使用者角度思考。
3.對 Web、Mobile Web開發、新技術開發具高度興趣及熱忱。
4.具主動、獨立作業與思考能力、執行能力強、勇於跳出框架思考的能力。
5.能有良好溝通表達能力、擇善不固執及團隊精神。

【好好選擇】
1.我們重視工作氣氛，在這講求團隊互助合作， 鼓勵主動提案改善，不墨守成規，打造活力無限、笑聲不斷、樂在工作的熱血團隊。
2.我們重視技術人才的培育與職涯發展，提供內部技術交流學習、外部訓練課程(公司出資)，透過不同階段工作安排與規劃，工作輪調機制，培育各領域儲備人才，讓每位員工擁有個人發展舞台與空間。
3.我們重視員工生活，公司提供內外部各項參與社團活動、旅遊補助、電影欣賞等，讓您在工作之餘，可以安排個人休閒娛樂，享受工作，樂於生活。
4.內部環境自由，可自由參與其他大數據、Python、資料庫等學習，不斷增加能力。

【好好薪資】
我們願意提供高於一般行情的薪酬，給具價值的您，確切薪資於面試時，將依實際能力/作品/經驗進行為最終核定，工作年資對我們不是非常重要。"
Senior Security Architect_台達研究院(台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,面議,3年以上,台北市內湖區,員工83000人,上市上櫃,碩士, accountable for the delivery of security architecture design and analysis process. The senior archtect will also be responsible for
Data Scientist/ Algorithm Engineer,美商凱柏數據科技股份有限公司台灣分公司,面議,經歷不拘,台北市南港區,員工52人,,碩士,", processing, cleansing data for advanced analysis 
2. Extracting and mining data insights from various sources 
3"
SA 系統分析師(台北),威進國際資訊股份有限公司,面議,2年以上,台北市大安區,員工67人,,大學,"1.負責參與公司產品系統功能規劃及定義、相關文件製作。
2.依產品或專案開發需求界定系統開發範圍、需求確認書、系統規格書撰寫。 
3.產出系統文件(含UML,OOAD 等物件導向軟體開發/使用手冊)。
4.需求訪談及規劃文件製作、與團隊溝通及說明需求、製作測試案例報告、協助專案進行驗收及技術支援。
5.熟悉Web service, App and Cloud service開發。
6.合適人選必須要非常熟悉物件導向程式設計並且有實際程式開發經驗2年以上。"
系統分析師,風行天股份有限公司,面議,3年以上,台北市中山區,員工35人,,專科,"1.需求訪談及需求功能分析。
2.系統流程規劃與功能項目設計。
3.系統規格書及軟體規劃書文件撰寫。
4.OOP系統及SOA架構設計。
5.需了解資料庫特性及運作機制。"
資深應用軟體工程師-台北,凌網科技股份有限公司,面議,2年以上,台北市中正區,員工350人,上市上櫃,大學,"1.可依照不同專案型態提供架構建議，或者具備導入不同技術架構之能力。
2.負責業務系統架構規劃、系統設計、程式撰寫及測試。
3.熟悉 Java 程式撰寫及SSH Framework架構。 
4.熟悉 web-based系統與應用程式開發架構。 
5.熟悉資料庫 及SQL語法。
6.具備資料蒐集、整理、分析經驗者佳。
7.對開發工作有熱情者。"
【知名外商/年薪可議】RF Planning-105JP,萬寶華企業管理顧問股份有限公司,面議,2年以上,台北市松山區,,,大學,". Require minimum 5 years of experience in Radio WCDMA experience or 2 years in LTE.
3. Required to provide analysis of KPIs"
Sr. Engineer / Data Scientist,孚創雲端股份有限公司,面議,2年以上,台北市內湖區,員工70人,,碩士," sophisticated analysis, accurate recognition, and quantitative evaluation on over 95 million patents and other related data"
Software Development Engineer in Test (RD),台灣聚引移動有限公司,面議,3年以上,台北市信義區,員工40人,,大學," Windows
- Deliver trend of feature adoption by your data analysis and strategy thinking
- Generate regular reports"
