jobName,companyName,salary,experience,place,companySize,special,school,description
Data Visualization Analyst,國泰金控_國泰金融控股股份有限公司,面議,經歷不拘,台北市信義區,員工200人,上市上櫃,大學,"- Use visualization to tell a compelling data story
- Collaborate with data engineers and data analysts to develop and"
Software Engineer - Data,英屬維京群島商點石創新股份有限公司臺灣分公司,面議,經歷不拘,台北市大安區,員工45人,,大學,"Responsibilities Include:
Design and implement Intowow data platform that meets both internal and external needs."
Big Data Engineer,現觀科技股份有限公司,面議,1年以上,台北市中正區,員工80人,外商公司,大學,"(1) Big Data platform infrastructure and design
(2) Control and maintain the modification of the databases, ensure schema"
Data Mining Analyst/Data Mining Engineer,統一企業集團_統一資訊股份有限公司,面議,3年以上,台北市內湖區,員工350人,,大學,"1.Data Mining分析模型建置 
2.分析市場情報，產出分析報告供行銷企劃人員或經營管理層運用
3.建立系統化的演算邏輯"
Sr. Engineer / Data Scientist,孚創雲端股份有限公司,面議,2年以上,台北市內湖區,員工70人,,碩士,"You will join a team that devises online, offline, or hybrid machine learning/data mining/statistical models for enabling"
ENGINEERING - Data Scientist,柯賓漢數位金融科技有限公司,面議,經歷不拘,台北市信義區,員工50人,,大學,"Responsibilities:
- Develop advanced machine learning and statistical models
- Data mining and feature engineering"
Data Backend Engineer,沛星互動科技股份有限公司,面議,經歷不拘,台北市信義區,,,大學," cross screen era. Appier is formed by a passionate team of computer scientists and engineers with experience in AI, data"
701: Data Engineer,Trend Micro_趨勢科技股份有限公司,面議,3年以上,台北市大安區,員工5200人,外商公司,大學,如果你著迷於處理巨量資料，加入趨勢就是你大展身手的好機會，在趨勢龐大的軟體架構下，有千萬筆巨量資料等著你，你將在團隊中扮演重要角色，將資料串接進系統，以巨量資料分析領頭，與資料分析師 (Data Analyst) 合作，洞察客戶意圖、掌握消費者
Data Scientist/ Algorithm Engineer,美商凱柏數據科技股份有限公司台灣分公司,面議,經歷不拘,台北市南港區,,,碩士,", processing, cleansing data for advanced analysis 
2. Extracting and mining data insights from various sources 
3"
1161: Data Researcher/Analyst,Trend Micro_趨勢科技股份有限公司,面議,3年以上,台北市大安區,員工5200人,外商公司,大學,"成效與高階主管及專案經理討論分析結果的應用方向，參與決策的過程，提高產品發展的競爭優勢。

[Job Content]  

As a Data Researcher/Analyst in Trend Micro, you will be an"
